epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,855.128,1.27589,0.94061,1.14519,0.89915,0.92104,0.90938,0.54468,1.31112,0.81521,1.14398,0.000396265,0.000396265,0.000396265
43,874.053,1.27257,0.94768,1.13798,0.89925,0.92855,0.91113,0.53635,1.335,0.78936,1.1588,0.000389661,0.000389661,0.000389661
44,894.31,1.27739,0.94909,1.14223,0.88436,0.91881,0.90411,0.52813,1.3389,0.78892,1.15042,0.000383058,0.000383058,0.000383058
45,913.21,1.28383,0.92655,1.14568,0.88311,0.90675,0.89952,0.53977,1.32419,0.80272,1.15512,0.000376455,0.000376455,0.000376455
46,933.516,1.26812,0.93034,1.14015,0.89649,0.9176,0.90533,0.51105,1.40198,0.8068,1.17931,0.000369851,0.000369851,0.000369851
47,952.872,1.26464,0.91889,1.1363,0.894,0.91599,0.91353,0.55623,1.33429,0.76512,1.15525,0.000363248,0.000363248,0.000363248
48,973.719,1.2637,0.9256,1.142,0.89959,0.9163,0.9129,0.55547,1.33912,0.76882,1.15553,0.000356645,0.000356645,0.000356645
49,994.396,1.26044,0.90859,1.13608,0.90068,0.92401,0.91545,0.54622,1.35439,0.76005,1.15313,0.000350042,0.000350042,0.000350042
50,1014.94,1.26022,0.89717,1.12962,0.90209,0.92765,0.91257,0.54878,1.34134,0.75007,1.15209,0.000343438,0.000343438,0.000343438
51,1035.33,1.26662,0.91206,1.13422,0.88956,0.93071,0.90802,0.54295,1.33587,0.78287,1.1526,0.000336835,0.000336835,0.000336835
52,1054.69,1.24555,0.88375,1.12188,0.88807,0.92199,0.91018,0.55211,1.32753,0.79176,1.15051,0.000330232,0.000330232,0.000330232
53,1075.02,1.25096,0.90012,1.1315,0.90639,0.91354,0.91586,0.5511,1.35222,0.76055,1.15418,0.000323628,0.000323628,0.000323628
54,1094.4,1.2467,0.88962,1.12788,0.89756,0.92897,0.90614,0.54733,1.33882,0.7641,1.14949,0.000317025,0.000317025,0.000317025
55,1114.84,1.25603,0.88719,1.13151,0.90897,0.93173,0.91308,0.55125,1.33478,0.74243,1.15549,0.000310422,0.000310422,0.000310422
56,1134.04,1.24366,0.89419,1.1284,0.90645,0.92963,0.91085,0.54157,1.35971,0.75715,1.16349,0.000303818,0.000303818,0.000303818
57,1154.5,1.24758,0.89323,1.12748,0.88698,0.92503,0.91697,0.54717,1.36666,0.76206,1.15228,0.000297215,0.000297215,0.000297215
58,1173.6,1.24201,0.87361,1.12533,0.89371,0.92207,0.90974,0.54247,1.33274,0.75512,1.14798,0.000290612,0.000290612,0.000290612
59,1193.9,1.24362,0.90111,1.12557,0.88526,0.91837,0.91129,0.54049,1.34729,0.73626,1.14853,0.000284009,0.000284009,0.000284009
60,1213.05,1.23183,0.8648,1.11543,0.90345,0.91417,0.90698,0.53977,1.36134,0.75813,1.14767,0.000277405,0.000277405,0.000277405
61,1233.58,1.22734,0.8668,1.12425,0.88615,0.92319,0.908,0.54605,1.35308,0.73391,1.15597,0.000270802,0.000270802,0.000270802
62,1252.88,1.22716,0.87536,1.12567,0.90117,0.93436,0.91399,0.55042,1.35577,0.73194,1.15948,0.000264199,0.000264199,0.000264199
63,1273.32,1.22939,0.85811,1.11582,0.90116,0.93207,0.91291,0.54407,1.35402,0.72759,1.15971,0.000257595,0.000257595,0.000257595
64,1292.71,1.23602,0.86089,1.12356,0.89682,0.92544,0.91004,0.54434,1.36749,0.74604,1.16521,0.000250992,0.000250992,0.000250992
65,1313.18,1.21729,0.84717,1.1233,0.88812,0.92836,0.90522,0.54046,1.37849,0.72483,1.1729,0.000244389,0.000244389,0.000244389
66,1332.39,1.21835,0.84873,1.11518,0.89107,0.92452,0.90503,0.53949,1.36604,0.7497,1.16627,0.000237785,0.000237785,0.000237785
67,1352.85,1.2311,0.84435,1.11857,0.90336,0.92269,0.90952,0.54368,1.37112,0.72621,1.16508,0.000231182,0.000231182,0.000231182
68,1372.25,1.21088,0.82819,1.11223,0.90006,0.91705,0.90381,0.54121,1.34872,0.71158,1.15695,0.000224579,0.000224579,0.000224579
69,1392.44,1.22004,0.82843,1.11228,0.89762,0.92877,0.90975,0.55056,1.35018,0.71847,1.15802,0.000217976,0.000217976,0.000217976
70,1411.96,1.21066,0.84075,1.11361,0.90462,0.92736,0.91146,0.54014,1.3679,0.70575,1.17383,0.000211372,0.000211372,0.000211372
71,1432.04,1.1983,0.83094,1.11153,0.90791,0.93025,0.90639,0.53578,1.38075,0.70806,1.17985,0.000204769,0.000204769,0.000204769
72,1452.01,1.2047,0.81212,1.11004,0.89206,0.9202,0.90228,0.53424,1.37495,0.72952,1.17099,0.000198166,0.000198166,0.000198166
73,1471.78,1.20514,0.81798,1.10881,0.89483,0.92029,0.90611,0.54318,1.38215,0.72542,1.17561,0.000191562,0.000191562,0.000191562
74,1492.22,1.19954,0.82229,1.10619,0.89638,0.92606,0.90632,0.53425,1.3817,0.69281,1.17054,0.000184959,0.000184959,0.000184959
75,1515.24,1.19082,0.80719,1.11038,0.89638,0.92312,0.90869,0.54023,1.36311,0.70449,1.17325,0.000178356,0.000178356,0.000178356
76,1545.49,1.19448,0.80764,1.10419,0.89736,0.92623,0.90901,0.49599,1.48356,0.74481,1.21675,0.000171752,0.000171752,0.000171752
77,1568.96,1.1931,0.81911,1.11392,0.88738,0.93253,0.90541,0.50172,1.46366,0.73769,1.2112,0.000165149,0.000165149,0.000165149
78,1589.46,1.18574,0.81217,1.10567,0.89571,0.93523,0.90928,0.53128,1.40036,0.70524,1.19307,0.000158546,0.000158546,0.000158546
79,1612.86,1.18462,0.80166,1.10188,0.90051,0.92741,0.90868,0.52968,1.38444,0.69218,1.17519,0.000151943,0.000151943,0.000151943
80,1634.79,1.17724,0.79364,1.1004,0.8962,0.92714,0.90709,0.52372,1.42882,0.69289,1.2067,0.000145339,0.000145339,0.000145339
81,1654.78,1.17939,0.79232,1.09569,0.89804,0.93053,0.90146,0.52249,1.39153,0.68555,1.18019,0.000138736,0.000138736,0.000138736
82,1675.19,1.17536,0.79288,1.10066,0.90173,0.92604,0.90279,0.53489,1.38964,0.68602,1.16772,0.000132133,0.000132133,0.000132133
83,1694.55,1.17312,0.77592,1.09921,0.89786,0.92768,0.90459,0.53839,1.39261,0.6725,1.1747,0.000125529,0.000125529,0.000125529
84,1715.19,1.16748,0.79404,1.09553,0.89023,0.92933,0.91344,0.5307,1.42126,0.67475,1.1891,0.000118926,0.000118926,0.000118926
85,1734.55,1.16321,0.78029,1.09174,0.8982,0.92701,0.90792,0.53247,1.36735,0.66785,1.16837,0.000112323,0.000112323,0.000112323
86,1755.1,1.15991,0.76657,1.08769,0.89605,0.93229,0.91171,0.52778,1.403,0.6727,1.18103,0.00010572,0.00010572,0.00010572
87,1775.81,1.15914,0.76851,1.08827,0.89987,0.92733,0.90776,0.53207,1.39335,0.66497,1.1748,9.91162e-05,9.91162e-05,9.91162e-05
88,1797.13,1.16097,0.76963,1.08664,0.8934,0.92288,0.90331,0.51849,1.42019,0.67329,1.19619,9.25129e-05,9.25129e-05,9.25129e-05
89,1816.91,1.15858,0.76181,1.08581,0.89948,0.924,0.90559,0.51507,1.41826,0.67523,1.19108,8.59096e-05,8.59096e-05,8.59096e-05
90,1841.02,1.14815,0.75604,1.08534,0.89744,0.92581,0.90367,0.51547,1.42518,0.66805,1.19608,7.93063e-05,7.93063e-05,7.93063e-05
91,1864.87,1.13952,0.62598,1.11102,0.8969,0.92028,0.90653,0.5194,1.42222,0.66923,1.19533,7.2703e-05,7.2703e-05,7.2703e-05
92,1888.12,1.12649,0.60889,1.10276,0.89459,0.91988,0.9,0.52081,1.40134,0.66277,1.18641,6.60997e-05,6.60997e-05,6.60997e-05
93,1907.19,1.12667,0.6121,1.10587,0.89584,0.9244,0.90755,0.51874,1.41467,0.65813,1.18904,5.94964e-05,5.94964e-05,5.94964e-05
94,1927.73,1.1201,0.60465,1.10205,0.89118,0.9211,0.901,0.51253,1.41804,0.6672,1.19253,5.28931e-05,5.28931e-05,5.28931e-05
95,1948.14,1.11314,0.60237,1.09374,0.89648,0.92004,0.90427,0.51459,1.43465,0.66108,1.20634,4.62898e-05,4.62898e-05,4.62898e-05
96,1967.18,1.10654,0.59731,1.09268,0.8983,0.92187,0.90483,0.51228,1.4259,0.65903,1.19962,3.96865e-05,3.96865e-05,3.96865e-05
97,1985.87,1.09831,0.5953,1.09185,0.89026,0.92011,0.90502,0.51153,1.44403,0.66235,1.20283,3.30832e-05,3.30832e-05,3.30832e-05
98,2005.73,1.09992,0.58904,1.08724,0.89601,0.91384,0.90221,0.50924,1.44314,0.66,1.21016,2.64799e-05,2.64799e-05,2.64799e-05
99,2024.5,1.09447,0.58811,1.08718,0.89802,0.91585,0.90531,0.51014,1.43985,0.6575,1.2096,1.98766e-05,1.98766e-05,1.98766e-05
100,2044.6,1.09567,0.58625,1.08623,0.89291,0.9145,0.90315,0.51044,1.43729,0.65788,1.20828,1.32733e-05,1.32733e-05,1.32733e-05
